,focal_habitat,sis_habitat,focal_metabolism,sis_metabolism
Flavobacteriale_jump1,NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|sediment|NA|NA|NA|NA|NA|NA|NA|NA|NA,NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|NA|NA|NA|NA
Flavobacteriale_jump2,NA|NA,NA,NA|anaerobic,NA
Flavobacteriale_jump3,NA,NA|NA,NA,NA|NA
Flavobacteriale_jump4,NA,NA,NA,NA
Flavobacteriale_jump5,NA,NA,NA,NA
Flavobacteriale_jump6,NA|NA|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|water|NA|NA|NA|NA|NA|sediment|NA,NA|NA|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|aerobic|NA|NA|NA|NA|NA|aerobic|NA
Flavobacteriale_jump7,NA|NA|NA,NA|NA|NA|NA|NA|NA|NA,NA|NA|NA,NA|NA|NA|NA|NA|NA|NA
Flavobacteriale_jump8,NA,NA|NA,NA,NA|NA
Flavobacteriale_jump9,NA,NA|NA|NA|NA|NA|NA|NA,NA,NA|NA|NA|NA|NA|NA|NA
Flavobacteriale_jump10,NA|NA|NA,NA|NA|NA|NA|NA|NA|NA,NA|NA|NA,NA|NA|NA|NA|NA|NA|NA
Flavobacteriale_jump11,NA|NA,NA,NA|NA,NA
Flavobacteriale_jump12,NA|NA|NA|NA,,NA|NA|NA|NA,
Flavobacteriale_jump13,NA|NA|NA|NA,,NA|NA|NA|NA,
Flavobacteriale_jump14,NA,NA,NA,NA
Flavobacteriale_jump15,NA|NA,NA|NA|NA|NA|NA|NA|NA,NA|NA,NA|NA|NA|NA|NA|NA|NA
Flavobacteriale_jump16,NA,NA|NA|NA,NA,NA|NA|NA
Flavobacteriale_jump17,NA,NA|NA|NA,NA,NA|NA|NA
Flavobacteriale_jump18,NA,NA|NA,NA,NA|NA
Flavobacteriale_jump19,NA|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA,NA|NA|NA|NA|NA|NA|NA|NA
Flavobacteriale_jump20,NA,NA|NA,NA,NA|NA
